GMLID;Localisation;ORGANISME;RelevantEmissions;typologie
SPO-FR09019_38;Niort Ferry;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09019_8;Niort Ferry;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09019_8;Niort Ferry;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09019_9;Niort Ferry;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09019_7;Niort Ferry;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09019_7;Niort Ferry;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09019_5;Niort Ferry;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09019_5;Niort Ferry;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09019_6001;Niort Ferry;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09033_38;Rivedoux plage;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09033_8;Rivedoux plage;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09033_7;Rivedoux plage;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09033_5;Rivedoux plage;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_20;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_38;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_38;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_38;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_8;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_8;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_8;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_9;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_9;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_7;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_7;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_7;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_7;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_5;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_5;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_5;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_6001;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_6001;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09103_6001;Square Pablo Casals;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09104_38;Angoulême trafic;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09104_8;Angoulême trafic;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09104_5;Angoulême trafic;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09105_38;Roumazières trafic;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09105_8;Roumazières trafic;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09105_5;Roumazières trafic;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_431;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_21;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_20;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_38;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_38;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_38;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_38;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_8;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_8;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_8;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_8;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_9;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_9;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_9;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_5;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_5;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_464;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09106_482;ANGOULEME-GAMBETTA;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09107_5018;PGOG_4_00;ATMO NOUVELLE-AQUITAINE;industrielle;Urbaine
SPO-FR09107_5014;PGOG_4_00;ATMO NOUVELLE-AQUITAINE;industrielle;Urbaine
SPO-FR09107_5015;PGOG_4_00;ATMO NOUVELLE-AQUITAINE;industrielle;Urbaine
SPO-FR09107_5012;PGOG_4_00;ATMO NOUVELLE-AQUITAINE;industrielle;Urbaine
SPO-FR09202_20;La Rochelle centre - rue St-Louis;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09202_38;La Rochelle centre - rue St-Louis;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09202_8;La Rochelle centre - rue St-Louis;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09202_5;La Rochelle centre - rue St-Louis;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09203_38;La Pallice3 LR;ATMO NOUVELLE-AQUITAINE;industrielle;Urbaine
SPO-FR09203_8;La Pallice3 LR;ATMO NOUVELLE-AQUITAINE;industrielle;Urbaine
SPO-FR09203_7;La Pallice3 LR;ATMO NOUVELLE-AQUITAINE;industrielle;Urbaine
SPO-FR09203_5;La Pallice3 LR;ATMO NOUVELLE-AQUITAINE;industrielle;Urbaine
SPO-FR09203_6001;La Pallice3 LR;ATMO NOUVELLE-AQUITAINE;industrielle;Urbaine
SPO-FR09203_6001;La Pallice3 LR;ATMO NOUVELLE-AQUITAINE;industrielle;Urbaine
SPO-FR09203_1;La Pallice3 LR;ATMO NOUVELLE-AQUITAINE;industrielle;Urbaine
SPO-FR09204_20;La_Rochelle_trafic_3;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09204_38;La_Rochelle_trafic_3;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09204_8;La_Rochelle_trafic_3;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09204_5;La_Rochelle_trafic_3;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09205_38;La Rochelle GARE;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09205_8;La Rochelle GARE;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09205_5;La Rochelle GARE;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09206_20;La Rochelle Trafic;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09206_38;La Rochelle Trafic;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09206_8;La Rochelle Trafic;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09206_5;La Rochelle Trafic;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09207_38;MARANS_D137;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09207_8;MARANS_D137;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09207_5;MARANS_D137;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09301_38;AIRVAULT 2;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09301_38;AIRVAULT 2;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09301_8;AIRVAULT 2;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09301_8;AIRVAULT 2;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09301_9;AIRVAULT 2;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09301_7;AIRVAULT 2;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09301_7;AIRVAULT 2;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09301_5;AIRVAULT 2;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09301_5;AIRVAULT 2;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09301_5;AIRVAULT 2;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09301_1;AIRVAULT 2;ATMO NOUVELLE-AQUITAINE;industrielle;périurbaine
SPO-FR09301_1;AIRVAULT 2;ATMO NOUVELLE-AQUITAINE;industrielle;périurbaine
SPO-FR09301_1;AIRVAULT 2;ATMO NOUVELLE-AQUITAINE;industrielle;périurbaine
SPO-FR09301_1;AIRVAULT 2;ATMO NOUVELLE-AQUITAINE;industrielle;périurbaine
SPO-FR09302_38;Zoodyssée Chizé;ATMO NOUVELLE-AQUITAINE;Fond;rural regional
SPO-FR09302_38;Zoodyssée Chizé;ATMO NOUVELLE-AQUITAINE;Fond;rural regional
SPO-FR09302_8;Zoodyssée Chizé;ATMO NOUVELLE-AQUITAINE;Fond;rural regional
SPO-FR09302_8;Zoodyssée Chizé;ATMO NOUVELLE-AQUITAINE;Fond;rural regional
SPO-FR09302_8;Zoodyssée Chizé;ATMO NOUVELLE-AQUITAINE;Fond;rural regional
SPO-FR09302_9;Zoodyssée Chizé;ATMO NOUVELLE-AQUITAINE;Fond;rural regional
SPO-FR09302_9;Zoodyssée Chizé;ATMO NOUVELLE-AQUITAINE;Fond;rural regional
SPO-FR09302_7;Zoodyssée Chizé;ATMO NOUVELLE-AQUITAINE;Fond;rural regional
SPO-FR09302_7;Zoodyssée Chizé;ATMO NOUVELLE-AQUITAINE;Fond;rural regional
SPO-FR09302_5;Zoodyssée Chizé;ATMO NOUVELLE-AQUITAINE;Fond;rural regional
SPO-FR09302_5;Zoodyssée Chizé;ATMO NOUVELLE-AQUITAINE;Fond;rural regional
SPO-FR09302_6001;Zoodyssée Chizé;ATMO NOUVELLE-AQUITAINE;Fond;rural regional
SPO-FR09303_38;Niort Venise;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09303_38;Niort Venise;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09303_38;Niort Venise;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09303_8;Niort Venise;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09303_8;Niort Venise;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09303_8;Niort Venise;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09303_9;Niort Venise;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09303_9;Niort Venise;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09303_9;Niort Venise;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09303_7;Niort Venise;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09303_5;Niort Venise;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09303_6001;Niort Venise;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09304_38;AIRVAULT - Stade Laillé;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09304_8;AIRVAULT - Stade Laillé;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09304_9;AIRVAULT - Stade Laillé;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09304_7;AIRVAULT - Stade Laillé;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09304_5;AIRVAULT - Stade Laillé;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09304_5;AIRVAULT - Stade Laillé;ATMO NOUVELLE-AQUITAINE;Fond;périurbaine
SPO-FR09304_1;AIRVAULT - Stade Laillé;ATMO NOUVELLE-AQUITAINE;industrielle;périurbaine
SPO-FR09305_38;Niort - Tassigny;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09305_8;Niort - Tassigny;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09305_9;Niort - Tassigny;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09305_5;Niort - Tassigny;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_431;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_21;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_20;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_20;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_38;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_38;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_38;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_8;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_8;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_8;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_9;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_9;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_5;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_464;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09399_482;Niort Trafic 6;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09402_5018;Avenue de Libération;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09402_5029;Avenue de Libération;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09402_431;Avenue de Libération;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09402_21;Avenue de Libération;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09402_20;Avenue de Libération;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09402_20;Avenue de Libération;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09402_5014;Avenue de Libération;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09402_38;Avenue de Libération;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09402_8;Avenue de Libération;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09402_5015;Avenue de Libération;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09402_5;Avenue de Libération;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09402_5012;Avenue de Libération;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09402_464;Avenue de Libération;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09402_482;Avenue de Libération;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09403_38;Poitiers-Le Nain;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09403_38;Poitiers-Le Nain;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09403_38;Poitiers-Le Nain;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09403_38;Poitiers-Le Nain;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09403_8;Poitiers-Le Nain;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09403_8;Poitiers-Le Nain;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09403_8;Poitiers-Le Nain;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09403_8;Poitiers-Le Nain;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09403_9;Poitiers-Le Nain;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09403_9;Poitiers-Le Nain;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09403_9;Poitiers-Le Nain;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09403_5;Poitiers-Le Nain;ATMO NOUVELLE-AQUITAINE;Trafic;Urbaine
SPO-FR09404_5029;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_5029;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_5610;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_5617;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_5623;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_5759;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_5626;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_431;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_21;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_20;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_10;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_10;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_5419;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_5655;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_38;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_38;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_38;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_38;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_38;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_8;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_8;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_8;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_8;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_8;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_9;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_9;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_9;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_9;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_7;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_7;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_5;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_5;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_6001;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_6001;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_464;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09404_482;Poitiers Centre  Augouard;ATMO NOUVELLE-AQUITAINE;Fond;Urbaine
SPO-FR09405_20;JULIEN LARS;ATMO NOUVELLE-AQUITAINE;Trafic;rural prés de ville
SPO-FR09405_38;JULIEN LARS;ATMO NOUVELLE-AQUITAINE;Trafic;rural prés de ville
SPO-FR09405_8;JULIEN LARS;ATMO NOUVELLE-AQUITAINE;Trafic;rural prés de ville
SPO-FR09405_5;JULIEN LARS;ATMO NOUVELLE-AQUITAINE;Trafic;rural prés de ville
SPO-FR10003_1;Dunkerque Port;ATMO HAUTS DE FRANCE;industrielle;périurbaine
SPO-FR10004_5029;Malo-les-Bains;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10004_5029;Malo-les-Bains;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10004_20;Malo-les-Bains;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10004_5;Malo-les-Bains;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10004_5;Malo-les-Bains;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10004_5;Malo-les-Bains;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10004_5;Malo-les-Bains;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10004_5;Malo-les-Bains;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10004_6001;Malo-les-Bains;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10004_6001;Malo-les-Bains;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10004_6001;Malo-les-Bains;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10004_6001;Malo-les-Bains;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10004_1;Malo-les-Bains;ATMO HAUTS DE FRANCE;industrielle;Urbaine
SPO-FR10007_10;St Pol/mer Nord;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10007_38;St Pol/mer Nord;ATMO HAUTS DE FRANCE;industrielle;Urbaine
SPO-FR10007_8;St Pol/mer Nord;ATMO HAUTS DE FRANCE;industrielle;Urbaine
SPO-FR10007_7;St Pol/mer Nord;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10007_5;St Pol/mer Nord;ATMO HAUTS DE FRANCE;industrielle;Urbaine
SPO-FR10007_1;St Pol/mer Nord;ATMO HAUTS DE FRANCE;industrielle;Urbaine
SPO-FR10012_431;Mardyck;ATMO HAUTS DE FRANCE;industrielle;périurbaine
SPO-FR10012_21;Mardyck;ATMO HAUTS DE FRANCE;industrielle;périurbaine
SPO-FR10012_20;Mardyck;ATMO HAUTS DE FRANCE;industrielle;périurbaine
SPO-FR10012_38;Mardyck;ATMO HAUTS DE FRANCE;industrielle;périurbaine
SPO-FR10012_8;Mardyck;ATMO HAUTS DE FRANCE;industrielle;périurbaine
SPO-FR10012_9;Mardyck;ATMO HAUTS DE FRANCE;industrielle;périurbaine
SPO-FR10012_5;Mardyck;ATMO HAUTS DE FRANCE;industrielle;périurbaine
SPO-FR10012_5;Mardyck;ATMO HAUTS DE FRANCE;industrielle;périurbaine
SPO-FR10012_1;Mardyck;ATMO HAUTS DE FRANCE;industrielle;périurbaine
SPO-FR10012_464;Mardyck;ATMO HAUTS DE FRANCE;industrielle;périurbaine
SPO-FR10012_482;Mardyck;ATMO HAUTS DE FRANCE;industrielle;périurbaine
SPO-FR10013_1;Loon-Plage;ATMO HAUTS DE FRANCE;industrielle;périurbaine
SPO-FR10016_20;Calais Berthelot;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10016_5;Calais Berthelot;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10016_5;Calais Berthelot;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10016_5;Calais Berthelot;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10016_5;Calais Berthelot;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10016_6001;Calais Berthelot;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10016_6001;Calais Berthelot;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10016_6001;Calais Berthelot;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10016_6001;Calais Berthelot;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10016_1;Calais Berthelot;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10017_38;St Pol mer - cheminots;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10017_8;St Pol mer - cheminots;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10017_9;St Pol mer - cheminots;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10017_7;St Pol mer - cheminots;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10017_5;St Pol mer - cheminots;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10017_1;St Pol mer - cheminots;ATMO HAUTS DE FRANCE;Fond;Urbaine
SPO-FR10025_38;Sangatte;ATMO HAUTS DE FRANCE;Fond;périurbaine
SPO-FR10025_8;Sangatte;ATMO HAUTS DE FRANCE;Fond;périurbaine
SPO-FR10025_9;Sangatte;ATMO HAUTS DE FRANCE;Fond;périurbaine
SPO-FR10025_7;Sangatte;ATMO HAUTS DE FRANCE;Fond;périurbaine
SPO-FR10025_5;Sangatte;ATMO HAUTS DE FRANCE;Fond;périurbaine
SPO-FR10025_5;Sangatte;ATMO HAUTS DE FRANCE;Fond;périurbaine
